IMEI,Device Name,Pick Time,EW,Longitude,NS,Latitude,Speed,Course,Altitude,Temperature,Voltage,Activity,Satellites,HDOP,VDOP,Precision Grade,Validity,Transmission Time,Channel
073587748,HQC6259 Button,2025-09-30 22:00:59,W,-2.9088100,N,51.0833700,0.00,0.0,4.00,26.28,3.65,7201,7,1.3,1.8,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-30 12:38:41,W,-2.9080800,N,51.0832700,0.00,0.0,11.00,37.19,3.67,10020,8,1.2,1.3,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-29 22:00:59,W,-2.9086100,N,51.0833800,0.00,0.0,5.00,32.60,3.61,10521,7,1.4,2.1,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-29 11:38:59,W,-2.9084100,N,51.0834300,0.00,0.0,18.00,30.74,3.67,8892,8,1.7,2.9,B,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-29 06:01:00,W,-2.9086100,N,51.0833900,0.00,0.0,5.00,18.27,3.63,347,7,2.3,2.0,B,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-29 02:00:28,W,-2.9085400,N,51.0834200,0.00,0.0,6.00,18.54,3.67,52,8,2.0,1.3,B,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-29 00:00:55,W,-2.9085700,N,51.0833900,0.00,0.0,5.00,21.10,3.72,169,11,1.1,1.1,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-28 20:01:12,W,-2.9085800,N,51.0833800,0.00,0.0,5.00,33.21,3.74,2139,12,1.0,1.6,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-28 16:00:37,W,-2.9086600,N,51.0833300,0.00,0.0,17.00,27.28,3.75,1748,6,3.0,3.4,B,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-28 14:19:00,W,-2.9086500,N,51.0833200,0.00,0.0,0.00,31.45,3.75,10721,7,1.6,3.1,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-27 22:01:06,W,-2.9075800,N,51.0832900,0.00,0.0,5.00,32.61,3.60,2435,6,1.5,2.2,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-27 16:28:41,W,-2.9076000,N,51.0831300,0.00,0.0,11.00,27.79,3.65,8783,7,1.5,2.0,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-27 10:00:55,W,-2.9079600,N,51.0834800,0.00,0.0,12.00,25.16,3.57,6823,10,1.1,1.4,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-26 22:01:06,W,-2.9085700,N,51.0833900,0.00,0.0,6.00,33.57,3.59,8307,9,1.0,1.4,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-26 12:00:59,W,-2.9077100,N,51.0834300,0.00,0.0,12.00,26.57,3.65,14571,6,1.8,3.3,B,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-25 14:44:06,W,-2.9090700,N,51.0837900,0.00,0.0,14.00,33.04,3.65,7480,12,0.8,1.0,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-25 10:01:06,W,-2.9086400,N,51.0838400,0.00,0.0,13.00,27.00,3.65,5689,9,1.0,1.4,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-24 22:00:55,W,-2.9087900,N,51.0837800,0.00,0.0,6.00,20.57,3.67,7302,12,0.7,0.9,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-09-24 12:29:44,W,-2.9078000,N,51.0837100,0.00,0.0,13.00,36.71,3.67,9619,7,4.8,4.5,C,Yes,2025-09-24 12:31:06,GPRS
073587748,HQC6259 Button,2025-09-23 22:01:00,W,-2.9085900,N,51.0834000,0.00,0.0,3.00,33.70,3.64,6834,7,2.0,2.4,B,Yes,2025-09-24 12:31:06,GPRS
073587748,HQC6259 Button,2025-09-23 12:39:00,W,-2.9074800,N,51.0830100,0.00,0.0,12.00,26.58,3.71,9520,8,2.2,4.5,B,Yes,2025-09-24 12:31:06,GPRS
073587748,HQC6259 Button,2025-09-23 02:00:55,W,-2.9085800,N,51.0834000,0.00,0.0,4.00,17.78,3.62,114,12,0.7,1.0,A,Yes,2025-09-24 12:31:06,GPRS
073587748,HQC6259 Button,2025-09-22 22:01:06,W,-2.9085800,N,51.0834000,0.00,0.0,5.00,30.68,3.68,9330,12,0.9,1.3,A,Yes,2025-09-24 12:31:06,GPRS
073587748,HQC6259 Button,2025-09-22 12:00:37,W,-2.9096200,N,51.0832900,0.00,0.0,19.00,33.78,3.66,832,6,3.4,3.4,B,Yes,2025-09-24 12:31:06,GPRS
073587748,HQC6259 Button,2025-09-22 11:28:36,W,-2.9095100,N,51.0832500,0.00,0.0,18.00,38.07,3.69,8374,6,3.6,3.6,C,Yes,2025-09-22 11:30:25,GPRS
073587748,HQC6259 Button,2025-09-22 02:00:59,W,-2.9085700,N,51.0833900,0.00,0.0,5.00,32.20,3.58,167,7,1.4,1.5,A,Yes,2025-09-22 11:30:25,GPRS
073587748,HQC6259 Button,2025-09-21 22:00:59,W,-2.9085700,N,51.0833800,0.00,0.0,5.00,31.64,3.65,6281,8,1.2,1.8,A,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-21 13:25:42,W,-2.9090500,N,51.0833100,0.00,0.0,9.00,24.92,3.67,7063,9,1.5,3.3,A,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-20 19:21:56,W,-2.9088300,N,51.0833700,0.00,0.0,7.00,24.42,3.56,5548,12,0.8,1.2,A,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-20 13:43:41,W,-2.9094400,N,51.0832600,0.00,0.0,11.00,22.84,3.63,19142,7,2.5,2.4,B,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-19 12:00:47,W,-2.9086400,N,51.0834200,0.00,0.0,13.00,29.95,3.65,1481,3,5.0,1.0,C,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-19 10:52:11,W,-2.9087300,N,51.0833500,0.00,0.0,19.00,32.92,3.67,23312,4,4.4,6.8,C,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-17 17:42:35,W,-2.9078200,N,51.0834800,0.00,0.0,7.00,26.99,3.60,6433,9,0.9,1.5,A,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-17 12:00:28,W,-2.9077600,N,51.0835200,0.00,0.0,7.00,26.53,3.59,1465,6,3.7,5.2,C,Yes,2025-09-21 22:03:03,GPRS
073587748,HQC6259 Button,2025-09-17 11:08:11,W,-2.9080300,N,51.0834300,0.00,0.0,8.00,22.15,3.65,11180,7,1.4,1.9,A,Yes,2025-09-17 11:09:27,GPRS
073587748,HQC6259 Button,2025-09-16 16:27:26,W,-2.9085700,N,51.0834300,0.00,0.0,7.00,25.22,3.65,6478,10,1.1,1.5,A,Yes,2025-09-17 11:09:27,GPRS
073587748,HQC6259 Button,2025-09-16 11:48:06,W,-2.9079600,N,51.0834900,0.00,0.0,12.00,27.59,3.65,6982,9,1.8,1.6,B,Yes,2025-09-17 11:09:27,GPRS
073587748,HQC6259 Button,2025-09-16 02:01:00,W,-2.9077000,N,51.0833800,0.00,0.0,3.00,32.18,3.64,212,9,1.0,1.6,A,Yes,2025-09-17 11:09:27,GPRS
073587748,HQC6259 Button,2025-09-15 22:00:59,W,-2.9076800,N,51.0833600,0.00,0.0,6.00,27.89,3.68,7759,5,4.4,3.5,C,Yes,2025-09-17 11:09:27,GPRS
073587748,HQC6259 Button,2025-09-15 12:15:11,W,-2.9081400,N,51.0836900,0.00,0.0,9.00,25.25,3.73,4555,8,1.0,1.2,A,Yes,2025-09-17 11:09:27,GPRS
073587748,HQC6259 Button,2025-09-14 17:56:35,W,-2.9078300,N,51.0834800,0.00,0.0,8.00,24.98,3.65,3402,10,0.9,1.4,A,Yes,2025-09-17 11:09:27,GPRS
073587748,HQC6259 Button,2025-09-14 14:18:36,W,-2.9076500,N,51.0836000,0.00,0.0,6.00,24.42,3.65,13656,8,1.8,2.0,B,Yes,2025-09-14 14:19:57,GPRS
073587748,HQC6259 Button,2025-09-13 16:38:41,W,-2.9082800,N,51.0838300,0.00,0.0,9.00,22.10,3.63,3320,8,1.2,1.8,A,Yes,2025-09-14 14:19:57,GPRS
073587748,HQC6259 Button,2025-09-13 12:00:56,W,-2.9089000,N,51.0837900,0.00,0.0,10.00,35.57,3.60,1892,11,1.0,1.1,A,Yes,2025-09-14 14:19:57,GPRS
073587748,HQC6259 Button,2025-09-13 10:39:11,W,-2.9095100,N,51.0836000,0.00,0.0,4.00,34.93,3.66,3463,5,2.0,3.2,B,Yes,2025-09-14 14:19:57,GPRS
073587748,HQC6259 Button,2025-09-13 06:00:55,W,-2.9101200,N,51.0837300,0.00,0.0,4.00,21.86,3.64,695,11,1.1,1.4,A,Yes,2025-09-14 14:19:57,GPRS
073587748,HQC6259 Button,2025-09-13 02:00:55,W,-2.7848900,N,50.9928700,0.00,0.0,9.00,21.53,3.66,3526,12,0.9,1.2,A,Yes,2025-09-13 02:02:46,GPRS
073587748,HQC6259 Button,2025-09-12 22:00:59,W,-2.9498600,N,51.2275200,38.20,154.0,94.00,14.32,3.68,9629,9,1.3,1.5,A,Yes,2025-09-12 22:01:13,GPRS
073587748,HQC6259 Button,2025-09-12 12:00:26,W,-4.0563100,N,51.6046900,0.00,0.0,78.00,34.92,3.60,912,12,1.0,1.4,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-12 11:30:00,W,-4.0563900,N,51.6047400,0.00,0.0,80.00,30.71,3.67,9491,11,1.0,1.7,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-12 02:00:55,W,-4.0563500,N,51.6046000,0.00,0.0,74.00,27.85,3.64,3562,11,1.0,1.1,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-11 22:01:21,W,-5.4333100,N,52.6300400,55.10,142.0,58.00,14.42,3.65,26396,12,1.0,1.2,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-10 13:50:12,W,-8.7827300,N,54.2536900,0.00,0.0,15.00,21.75,3.66,6930,7,2.1,3.7,B,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-09 15:30:33,W,-8.7828200,N,54.2537200,0.00,0.0,14.00,24.84,3.65,5444,8,2.6,2.2,B,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-09 12:01:12,W,-8.7827300,N,54.2537000,0.00,0.0,17.00,33.27,3.67,27399,10,0.9,1.2,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-08 09:31:00,W,-8.7828100,N,54.2537700,0.00,0.0,17.00,26.67,3.60,55971,9,1.1,1.7,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-05 12:01:00,W,-8.7828200,N,54.2537600,0.00,0.0,20.00,27.46,3.65,2118,7,1.4,2.1,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-05 10:01:06,W,-8.7827800,N,54.2537700,0.00,0.0,17.00,23.68,3.65,4654,4,6.1,3.8,C,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-05 06:01:11,W,-8.7828700,N,54.2537400,0.00,0.0,15.00,18.75,3.65,1052,7,1.4,2.2,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-05 02:01:00,W,-8.7827000,N,54.2537500,0.00,0.0,16.00,25.87,3.65,316,6,1.9,2.9,B,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-04 22:00:55,W,-8.7827300,N,54.2537700,0.00,0.0,15.00,23.81,3.65,7223,9,1.0,1.5,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-04 12:00:34,W,-8.7828200,N,54.2537400,0.00,0.0,19.00,28.07,3.71,1960,7,1.2,1.4,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-04 10:00:55,W,-8.7826500,N,54.2537500,0.00,29.0,20.00,24.15,3.70,4622,11,0.9,1.4,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-04 06:00:59,W,-8.7816100,N,54.2538900,0.00,0.0,21.00,22.12,3.65,384,12,0.8,1.1,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-04 02:00:55,W,-8.7815600,N,54.2538900,0.00,0.0,18.00,21.28,3.66,1818,12,0.8,1.0,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-03 22:00:55,W,-9.2222500,N,54.0573400,60.00,120.0,222.00,14.14,3.67,3174,12,0.7,1.0,A,Yes,2025-09-12 12:00:42,GPRS
073587748,HQC6259 Button,2025-09-03 14:00:59,W,-9.8218300,N,54.2233800,0.00,0.0,48.00,26.99,3.68,1232,10,1.2,1.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-09-03 13:00:27,W,-9.8217700,N,54.2234400,0.00,0.0,72.00,29.25,3.67,1292,6,3.1,3.3,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-09-03 12:00:28,W,-9.8215800,N,54.2235500,0.00,0.0,46.00,38.46,3.67,1743,11,1.0,1.6,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-09-03 10:43:41,W,-9.8216400,N,54.2235100,0.00,0.0,47.00,25.78,3.59,16099,12,0.8,1.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-09-02 12:12:00,W,-9.9930400,N,54.2536300,0.00,0.0,29.00,24.29,3.59,2366,7,3.4,2.8,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-09-02 10:50:05,W,-9.9931400,N,54.2535100,0.00,0.0,30.00,32.65,3.58,579,6,1.4,1.7,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-31 16:29:29,W,-9.9930500,N,54.2535100,0.00,0.0,30.00,27.45,3.61,2505,6,1.2,1.9,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-31 12:01:12,W,-9.9933900,N,54.2535100,0.00,0.0,33.00,27.66,3.64,12365,6,1.9,4.3,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-30 16:58:05,W,-9.9926700,N,54.2535500,0.00,0.0,30.00,24.44,3.63,4873,9,2.1,2.5,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-30 13:26:03,W,-9.9926700,N,54.2528600,0.00,0.0,35.00,26.30,3.64,12839,9,1.3,2.3,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-29 16:58:41,W,-9.9931300,N,54.2535500,0.00,0.0,33.00,29.59,3.56,2547,10,1.0,1.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-29 14:27:12,W,-9.9932100,N,54.2535300,0.00,0.0,25.00,30.08,3.58,3265,5,3.3,7.6,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-29 10:54:41,W,-9.9934600,N,54.2535000,0.00,0.0,29.00,28.95,3.60,11328,4,4.6,5.5,C,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-28 16:33:01,W,-9.9931900,N,54.2534600,0.00,0.0,27.00,27.01,3.57,2282,10,3.0,3.8,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-28 14:00:35,W,-9.9931900,N,54.2535200,0.00,0.0,33.00,29.28,3.61,2841,6,1.2,1.3,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-28 12:00:59,W,-9.9932100,N,54.2535100,0.00,0.0,30.00,28.46,3.57,19804,7,1.8,2.3,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-27 15:00:55,W,-9.9931800,N,54.2534900,0.00,0.0,30.00,24.74,3.59,3992,9,1.5,2.2,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-27 12:13:01,W,-9.9932900,N,54.2534100,0.00,0.0,30.00,24.35,3.59,13108,9,1.5,2.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-26 16:39:41,W,-9.9931600,N,54.2534900,0.00,0.0,28.00,27.55,3.62,2820,5,2.7,3.6,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-25 19:00:55,W,-9.9925600,N,54.2536200,0.00,0.0,26.00,28.62,3.56,3075,12,0.8,1.2,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-25 14:57:11,W,-9.9931600,N,54.2534200,0.00,0.0,24.00,32.07,3.65,18597,5,3.0,4.4,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-24 15:28:29,W,-9.9931700,N,54.2534600,0.00,0.0,30.00,30.85,3.65,3334,5,2.0,2.2,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-24 12:00:55,W,-9.9931800,N,54.2534600,0.00,0.0,35.00,31.61,3.57,2145,12,0.7,1.3,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-24 09:59:00,W,-9.9929000,N,54.2531400,0.00,0.0,31.00,27.32,3.65,5709,10,1.0,1.3,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-23 14:09:11,W,-9.9918300,N,54.2525700,0.00,0.0,32.00,31.66,3.55,19367,5,2.7,3.8,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-22 10:51:12,W,-9.9913300,N,54.2520000,0.00,0.0,28.00,32.70,3.60,17419,6,2.0,3.1,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-21 09:19:11,W,-9.9919500,N,54.2527200,0.00,0.0,30.00,27.63,3.60,8590,7,2.4,3.1,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-19 14:01:00,W,-9.9920500,N,54.2536700,0.00,0.0,26.00,31.90,3.57,11746,7,4.0,4.0,C,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-18 09:30:00,W,-9.9939300,N,54.2533800,0.00,0.0,23.00,34.16,3.59,17475,6,1.8,1.5,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-17 13:00:38,W,-9.9930800,N,54.2535700,0.00,0.0,30.00,33.96,3.65,3598,5,4.4,2.7,C,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-17 11:15:55,W,-9.9925400,N,54.2532200,0.00,0.0,39.00,33.55,3.55,19990,7,2.2,4.6,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-16 11:47:12,W,-9.9940900,N,54.2531700,0.00,0.0,28.00,31.79,3.58,18060,9,2.8,2.3,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-15 15:29:27,W,-9.9931900,N,54.2534300,0.00,0.0,24.00,30.96,3.57,2508,8,2.5,3.9,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-15 13:01:06,W,-9.9933600,N,54.2533800,0.00,0.0,28.00,43.17,3.60,4534,6,1.3,3.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-15 09:05:56,W,-9.9933500,N,54.2537500,0.00,0.0,22.00,32.53,3.64,7826,6,4.8,6.0,C,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-14 18:19:06,W,-9.9926700,N,54.2537200,0.00,0.0,20.00,27.90,3.55,4637,8,1.1,1.4,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-14 14:00:31,W,-9.9935700,N,54.2539000,0.00,0.0,52.00,33.72,3.61,2852,5,16.6,15.1,D,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-14 12:01:20,W,-9.9932000,N,54.2537800,0.00,0.0,25.00,33.71,3.59,5293,8,2.7,1.9,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-14 08:02:41,W,-9.9925000,N,54.2535200,0.00,0.0,25.00,26.78,3.57,10391,5,2.3,4.5,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-13 16:34:11,W,-9.9925300,N,54.2535200,0.00,0.0,30.00,36.26,3.65,2924,6,7.5,6.6,D,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-13 14:16:11,W,-9.9932000,N,54.2538100,0.00,0.0,24.00,32.17,3.59,4478,6,2.0,2.1,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-13 09:58:01,W,-9.9932000,N,54.2537700,0.00,0.0,27.00,33.03,3.58,13390,11,1.0,1.4,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-12 15:29:36,W,-9.9929100,N,54.2536200,0.00,0.0,25.00,45.96,3.61,1400,12,0.9,1.1,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-12 14:00:28,W,-9.9924500,N,54.2537200,0.00,0.0,24.00,37.64,3.65,1635,9,1.1,2.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-12 13:00:55,W,-9.9918500,N,54.2536700,0.00,304.0,26.00,37.30,3.62,1513,11,0.9,1.1,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-12 12:00:37,W,-9.9927000,N,54.2538600,0.00,0.0,19.00,53.56,3.58,2041,4,7.0,3.3,C,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-12 10:08:41,W,-9.9932900,N,54.2538900,0.00,0.0,26.00,36.25,3.61,6711,7,1.3,1.5,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-11 20:00:55,W,-9.9928600,N,54.2538400,0.00,0.0,19.00,27.54,3.55,2816,10,1.2,2.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-11 16:01:00,W,-9.9932800,N,54.2537900,0.00,0.0,21.00,37.12,3.61,1207,9,1.3,2.5,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-11 14:29:11,W,-9.9932200,N,54.2537700,0.00,0.0,19.00,34.27,3.62,1005,4,2.9,3.4,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-11 13:01:00,W,-9.9932500,N,54.2538100,0.00,0.0,21.00,35.39,3.60,780,4,2.8,4.3,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-11 12:00:33,W,-9.9932000,N,54.2538200,0.00,0.0,27.00,36.01,3.55,1414,6,3.1,3.6,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-11 10:17:35,W,-9.9930100,N,54.2538200,0.00,0.0,27.00,26.29,3.64,14986,8,1.5,1.9,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-10 16:46:05,W,-9.9931800,N,54.2538000,0.00,0.0,25.00,24.13,3.60,5522,8,1.2,2.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-10 13:14:11,W,-9.9926400,N,54.2538800,0.00,0.0,25.00,29.75,3.59,1954,8,1.5,1.6,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-10 11:46:41,W,-9.9920800,N,54.2540800,0.00,0.0,24.00,34.50,3.57,2352,5,1.9,1.6,B,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-10 10:15:25,W,-9.9932200,N,54.2538000,0.00,0.0,28.00,29.79,3.57,11024,9,1.5,2.0,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-09 16:48:04,W,-9.9932600,N,54.2538300,0.00,0.0,25.00,29.44,3.59,4680,10,1.0,1.5,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-09 12:29:36,W,-9.9931700,N,54.2538000,0.00,0.0,26.00,31.64,3.65,2111,9,1.5,2.1,A,Yes,2025-09-03 14:02:51,GPRS
073587748,HQC6259 Button,2025-08-09 11:01:00,W,-9.9928600,N,54.2538500,0.00,0.0,21.00,37.90,3.64,3455,9,1.0,1.7,A,Yes,2025-09-03 14:02:51,GPRS
